Date,SYGT40 SJ EQUITY_price
1/7/2019,4591
1/8/2019,4638
1/9/2019,4711
1/10/2019,4725
1/11/2019,4769
1/14/2019,4732
1/15/2019,4747
1/16/2019,4771
1/17/2019,4737
1/18/2019,4791
1/21/2019,4807
1/22/2019,4795
1/23/2019,4783
1/24/2019,4750
1/25/2019,4806
1/28/2019,4783
1/29/2019,4832
1/30/2019,4808
1/31/2019,4803
2/1/2019,4779
2/4/2019,4744
2/5/2019,4807
2/6/2019,4847
2/7/2019,4753
2/8/2019,4717
2/11/2019,4750
2/12/2019,4789
2/13/2019,4855
2/14/2019,4840
2/15/2019,4855
2/18/2019,4919
2/19/2019,4898
2/20/2019,4948
2/21/2019,4946
2/22/2019,4998
2/25/2019,4979
2/26/2019,5004
2/27/2019,5009
2/28/2019,4983
3/1/2019,5003
3/4/2019,4999
3/5/2019,4970
3/6/2019,5015
3/7/2019,4991
3/8/2019,4949
3/11/2019,4964
3/12/2019,4972
3/13/2019,4985
3/14/2019,4987
3/15/2019,5021
3/18/2019,5078
3/19/2019,5092
3/20/2019,5031
3/22/2019,4992
3/25/2019,4948
3/26/2019,4981
3/27/2019,5039
3/28/2019,5043
3/29/2019,5071
4/1/2019,5143
4/2/2019,5140
4/3/2019,5222
4/4/2019,5203
4/5/2019,5221
4/8/2019,5219
4/9/2019,5219
4/10/2019,5272
4/11/2019,5263
4/12/2019,5289
4/15/2019,5267
4/16/2019,5338
4/17/2019,5336
4/18/2019,5352
4/23/2019,5381
4/24/2019,5345
4/25/2019,5314
4/26/2019,5317
4/29/2019,5306
4/30/2019,5299
5/2/2019,5327
5/3/2019,5377
5/6/2019,5298
5/7/2019,5252
5/9/2019,5113
5/10/2019,5129
5/13/2019,5086
5/14/2019,5091
5/15/2019,5053
5/16/2019,5119
5/17/2019,5096
5/20/2019,5027
5/21/2019,5024
5/22/2019,4998
5/23/2019,4899
5/24/2019,4926
5/27/2019,4932
5/28/2019,4931
5/29/2019,4977
5/30/2019,5050
5/31/2019,5027
6/3/2019,5090
6/4/2019,5111
6/5/2019,5162
6/6/2019,5179
6/7/2019,5289
6/10/2019,5310
6/11/2019,5342
6/12/2019,5339
6/13/2019,5341
6/14/2019,5278
6/18/2019,5337
6/19/2019,5331
6/20/2019,5386
6/21/2019,5397
6/24/2019,5348
6/25/2019,5305
6/26/2019,5321
6/27/2019,5292
6/28/2019,5301
7/1/2019,5341
7/2/2019,5296
7/3/2019,5280
7/4/2019,5260
7/5/2019,5236
7/8/2019,5241
7/9/2019,5172
7/10/2019,5242
7/11/2019,5190
7/12/2019,5200
7/15/2019,5219
7/16/2019,5275
7/17/2019,5164
7/18/2019,5185
7/19/2019,5210
7/22/2019,5190
7/23/2019,5223
7/24/2019,5175
7/25/2019,5159
7/26/2019,5171
7/29/2019,5206
7/30/2019,5128
7/31/2019,5105
8/1/2019,5132
8/2/2019,5037
8/5/2019,4910
8/6/2019,4924
8/7/2019,4934
8/8/2019,4992
8/12/2019,4970
8/13/2019,4967
8/14/2019,4857
8/15/2019,4835
8/16/2019,4843
8/19/2019,4897
8/20/2019,4869
8/21/2019,4910
8/22/2019,4875
8/23/2019,4851
8/26/2019,4825
8/27/2019,4843
8/28/2019,4866
8/29/2019,4873
8/30/2019,4950
9/2/2019,4926
9/3/2019,4925
9/4/2019,4924
9/5/2019,5027
9/6/2019,5024
9/9/2019,5004
9/10/2019,4995
