Date,ASHR40 SJ EQUITY_price
3/24/2015,4704
3/25/2015,4649
3/26/2015,4578
3/27/2015,4599
3/30/2015,4660
3/31/2015,4635
4/1/2015,4643
4/2/2015,4637
4/7/2015,4675
4/8/2015,4697
4/9/2015,4711
4/10/2015,4741
4/13/2015,4770
4/14/2015,4741
4/15/2015,4785
4/16/2015,4839
4/17/2015,4789
4/20/2015,4800
4/21/2015,4832
4/22/2015,4850
4/23/2015,4892
4/24/2015,4946
4/28/2015,4926
4/29/2015,4878
4/30/2015,4869
5/4/2015,4894
5/5/2015,4880
5/6/2015,4819
5/7/2015,4765
5/8/2015,4820
5/11/2015,4859
5/12/2015,4836
5/13/2015,4847
5/14/2015,4831
5/15/2015,4870
5/18/2015,4875
5/19/2015,4863
5/20/2015,4848
5/21/2015,4839
5/22/2015,4837
5/25/2015,4833
5/26/2015,4740
5/27/2015,4729
5/28/2015,4730
5/29/2015,4679
6/1/2015,4666
6/2/2015,4686
6/3/2015,4656
6/4/2015,4607
6/5/2015,4647
6/8/2015,4641
6/9/2015,4588
6/10/2015,4673
6/11/2015,4665
6/12/2015,4665
6/15/2015,4612
6/17/2015,4643
6/18/2015,4671
6/19/2015,4667
6/22/2015,4666
6/23/2015,4705
6/24/2015,4728
6/25/2015,4732
6/26/2015,4711
6/29/2015,4645
6/30/2015,4617
7/1/2015,4636
7/2/2015,4669
7/3/2015,4638
7/6/2015,4577
7/7/2015,4438
7/8/2015,4472
7/9/2015,4594
7/10/2015,4628
7/13/2015,4697
7/14/2015,4661
7/15/2015,4698
7/16/2015,4726
7/17/2015,4709
7/20/2015,4743
7/21/2015,4730
7/22/2015,4641
7/23/2015,4669
7/24/2015,4590
7/27/2015,4582
7/28/2015,4535
7/29/2015,4619
7/30/2015,4638
7/31/2015,4661
8/3/2015,4630
8/4/2015,4705
8/5/2015,4742
8/6/2015,4712
8/7/2015,4662
8/11/2015,4680
8/12/2015,4512
8/13/2015,4606
8/14/2015,4552
8/17/2015,4554
8/18/2015,4572
8/19/2015,4494
8/20/2015,4433
8/21/2015,4357
8/24/2015,4238
8/25/2015,4374
8/26/2015,4312
8/27/2015,4390
8/28/2015,4468
8/31/2015,4463
9/1/2015,4322
9/2/2015,4398
9/3/2015,4513
9/4/2015,4383
9/7/2015,4386
9/8/2015,4458
9/9/2015,4472
9/10/2015,4450
9/11/2015,4392
9/14/2015,4430
9/15/2015,4449
9/16/2015,4608
9/17/2015,4668
9/18/2015,4574
9/21/2015,4552
9/22/2015,4464
9/23/2015,4521
9/25/2015,4507
