Date,SYGALBB SJ EQUITY_price
11/19/2018,91.07
11/20/2018,90.9
11/21/2018,91.18
11/22/2018,91.65
11/23/2018,92.17
11/26/2018,92.09
11/27/2018,91.86
11/28/2018,91.46
11/29/2018,92.34
11/30/2018,92.34
12/3/2018,92.49
12/4/2018,92.53
12/5/2018,91.97
12/6/2018,91.3
12/7/2018,91.22
12/10/2018,90.78
12/11/2018,90.72
12/12/2018,90.61
12/13/2018,90.57
12/14/2018,90.37
12/18/2018,90.85
12/19/2018,91.12
12/20/2018,91.69
12/21/2018,91.59
12/24/2018,91.76
12/27/2018,92.13
12/28/2018,92.59
12/31/2018,92.74
1/2/2019,92.46
1/3/2019,93.13
1/4/2019,93.79
1/7/2019,93.97
1/8/2019,93.57
1/9/2019,93.64
1/10/2019,93.96
1/11/2019,94.09
1/14/2019,93.69
1/15/2019,93.71
1/16/2019,93.93
1/17/2019,93.84
1/18/2019,93.19
1/21/2019,93.02
1/22/2019,93.35
1/23/2019,93.32
1/24/2019,93.76
1/25/2019,94.36
1/28/2019,94.18
1/29/2019,94.13
1/30/2019,94.32
1/31/2019,95.41
2/1/2019,95.62
2/4/2019,95.02
2/5/2019,95.47
2/6/2019,95.32
2/7/2019,95.09
2/8/2019,95.27
2/11/2019,94.45
2/12/2019,94.02
2/13/2019,93.71
2/14/2019,93.43
2/15/2019,93.73
2/18/2019,93.91
2/19/2019,93.68
2/20/2019,93.58
2/21/2019,94.09
2/22/2019,94.44
2/25/2019,94.88
2/26/2019,94.99
2/27/2019,95.55
2/28/2019,95.17
3/1/2019,94.78
3/4/2019,94.91
3/5/2019,95.46
3/6/2019,95.4
3/7/2019,95.22
3/8/2019,95.29
3/11/2019,95.68
3/12/2019,95.65
3/13/2019,95.59
3/14/2019,94.94
3/15/2019,95.38
4/2/2019,93.14
4/3/2019,92.71
4/4/2019,92.66
4/5/2019,92.92
4/8/2019,92.86
4/9/2019,93.08
4/10/2019,93.34
4/11/2019,93.1
4/12/2019,93.05
4/15/2019,93.15
4/16/2019,92.63
4/17/2019,93.2
4/18/2019,93.37
4/23/2019,92.98
4/24/2019,92.76
4/25/2019,92.26
4/26/2019,92.66
4/29/2019,92.89
4/30/2019,92.87
5/2/2019,92.42
5/3/2019,92.48
5/6/2019,92.66
5/7/2019,92.64
5/9/2019,92.86
5/10/2019,93.55
5/13/2019,93.19
5/14/2019,93.07
5/15/2019,93.47
5/16/2019,93.68
5/17/2019,93.13
5/20/2019,93.13
5/21/2019,93.3
5/22/2019,93.75
5/23/2019,93.86
5/24/2019,93.94
5/27/2019,93.7
5/28/2019,93.49
5/29/2019,93.2
5/30/2019,93.24
5/31/2019,93.36
6/3/2019,93.69
6/4/2019,93.29
6/5/2019,93
6/6/2019,92.88
6/7/2019,92.68
6/10/2019,92.99
6/11/2019,93.6
6/12/2019,93.95
6/13/2019,93.14
6/14/2019,93.49
6/18/2019,93.91
6/19/2019,94.35
6/20/2019,95.14
6/21/2019,94.53
6/24/2019,94.06
6/25/2019,93.99
